real_rho,nn,ldhat
0.00503705080655,0.00611484482235,0.00615
0.00504692216575,0.00579807767095,0.00575
0.0050474137482,0.00281015231271,0.0058
0.0501082272915,0.0483335848516,0.04545
0.050372517222,0.0270083434003,0.05365
0.0503755130665,0.0438613774584,0.05385
0.00506789695755,0.00825910313195,0.0049
0.0505701970915,0.0427247162221,0.06415
0.0507362976015,0.0298004193283,0.0313
0.050759950124,0.0304442834278,0.06385
0.0508243628535,0.0435589936336,0.0579
0.0509886963635,0.0300320596427,0.04495
0.0510752492525,0.0499562742395,0.07145
0.051094059216,0.0278969464021,0.0538
0.051444970638,0.0363068345954,0.05785
0.0051624384613,0.0080247479996,0.0062
0.051816608405,0.023111599688,0.05985
0.0518493124995,0.0293562593659,0.0539
0.0052119504536,0.00596853126395,0.0073
0.0052128605508,0.00493952476101,0.00615
0.0052203874446,0.00310022118321,0.00495
0.00522083156905,0.010180006666,0.0076
0.0052483816898,0.00302066609821,0.0063
0.00525467572845,0.00901559513205,0.01155
0.00526801343765,0.00660750848975,0.00615
0.00528036879645,0.00333676133132,0.00445
0.00529331120985,0.00474671311189,0.00535
0.0526708348385,0.0453830034253,0.04835
0.0529742316335,0.0319661448768,0.0562
0.0053005510328,0.00564490777745,0.0041
0.00533623026105,0.00407569572727,0.00985
0.0053487239053,0.00733911424465,0.00705
0.053415140273,0.0431696657275,0.05135
0.00537011448875,0.00328522780045,0.00795
0.053781630042,0.0407090820569,0.04275
0.0054117752013,0.00358982475991,0.0049
0.00543085095005,0.00703082992165,0.00545
0.0054320165322,0.00695243416595,0.00835
0.054018467257,0.0348177870052,0.0501
0.0055190278092,0.00599409560065,0.00705
0.00557959301125,0.00345745260616,0.0062
0.055529139732,0.0341135312582,0.05385
0.0558135955715,0.0392618361023,0.06315
0.0558392484575,0.0416572397439,0.0533
0.00562743392725,0.00219014973901,0.0033
0.005634631761,0.00994714754855,0.007
0.0562635678475,0.0345587326646,0.0649
0.056302610002,0.0416574830752,0.0509
0.0056531153943,0.0086636488059,0.00625
0.00567126074785,0.00599190500635,0.0054
0.00568236160185,0.00231098991042,0.00385
0.00569322235405,0.0054391783168,0.00925
0.056891967999,0.0326449921608,0.0487
0.0579406094975,0.0442807757056,0.05245
0.0058002270015,0.00440032723443,0.0095
0.00581574842715,0.00471785740778,0.00815
0.0058271208094,0.0075493578496,0.00895
0.00584528767675,0.0079256585189,0.00715
0.0058496966117,0.0054449983921,0.0047
0.058080865071,0.0399611928714,0.0482
0.058261917022,0.057171981034,0.0422
0.00588186595115,0.00793741715265,0.00735
0.00588239269625,0.00599672907935,0.0069
0.058632446819,0.0352295267376,0.06305
0.058744837726,0.0468807401663,0.0501
0.0589539825285,0.0420044164383,0.06345
0.0589777497525,0.0390082939247,0.06155
0.0059826737058,0.00483534325022,0.00685
0.00603889698745,0.012249039714,0.0079
0.0060395852343,0.0114802203468,0.00665
0.0601525835545,0.0471477731771,0.0492
0.0601535489545,0.0323926960332,0.06825
0.06015413976,0.0581966081675,0.05835
0.060385084837,0.0401404054761,0.06365
0.0604868222645,0.0388186119251,0.04165
0.0060577637763,0.00512388287235,0.00515
0.00606897931655,0.00517686631285,0.00505
0.00607391438335,0.00475920401475,0.00555
0.00609561344855,0.0103316687767,0.0037
0.0607969738735,0.055300866113,0.0584
0.0609900123695,0.07275802532,0.07085
0.00611558054125,0.0141642523146,0.00605
0.00611707456315,0.0060984751393,0.0074
0.061457443963,0.0310528082527,0.0434
0.00617808756545,0.00662713111805,0.01095
0.006191198477,0.013918840565,0.0076
0.061577452975,0.0470496748266,0.0393
0.061936102299,0.0462725975443,0.06035
0.00620546914875,0.00355845253614,0.00565
0.0062222159733,0.0078867181643,0.00715
0.0062663984127,0.0186941635905,0.00985
0.00628594903115,0.00469527991642,0.00485
0.00629977763285,0.00679765208665,0.0091
